registration_id,registered_by,event_id,datetime_registered,number_of_attendee,channel,status,notes
256-001,P0001,256,,1,Connect,Registered,
256-002,P0002,256,,1,Connect,Registered,
256-003,P0003,256,,1,Connect,Registered,
256-004,P0004,256,,1,Connect,Registered,
256-005,P0005,256,,1,Connect,Registered,
256-006,P0006,256,,1,Connect,Registered,
256-007,P0007,256,,1,Connect,Registered,
256-008,P0008,256,,1,Connect,Registered,
256-009,P0009,256,,1,Connect,Registered,
256-010,P0010,256,,1,Connect,Registered,
256-011,P0011,256,,1,Connect,Registered,
256-012,P0012,256,,1,Connect,Registered,
256-013,P0013,256,,1,Connect,Registered,
256-014,P0014,256,,1,Connect,Registered,
256-015,P0015,256,,1,Connect,Registered,
256-016,P0016,256,,1,Connect,Registered,
256-017,P0017,256,,1,Connect,Registered,
256-018,P0018,256,,1,Connect,Registered,
256-019,P0019,256,,1,Connect,Registered,
256-020,P0020,256,,1,Connect,Registered,
256-021,P0021,256,,1,Connect,Registered,
256-022,P0022,256,,1,Connect,Registered,
256-023,P0023,256,,1,Connect,Registered,
256-024,P0024,256,,2,Connect,Registered,
256-025,P0025,256,,1,Connect,Registered,
256-026,P0026,256,,1,Connect,Registered,
256-027,P0027,256,,1,Connect,Registered,
260-001,P0028,260,,1,Connect,Registered,
260-002,P0029,260,,1,Connect,Registered,
260-003,P0030,260,,1,Connect,Registered,
260-004,P0031,260,,1,Connect,Registered,
263-001,P0032,263,,1,Connect,Registered,
263-002,P0033,263,,1,Connect,Registered,
263-003,P0034,263,,1,Connect,Registered,
263-004,P0035,263,,1,Connect,Registered,
263-005,P0036,263,,1,Connect,Registered,
263-006,P0037,263,,1,Connect,Registered,
263-007,P0038,263,,1,Connect,Registered,
263-008,P0002,263,,1,Connect,Registered,
263-009,P0003,263,,1,Connect,Registered,
263-010,P0006,263,,1,Connect,Registered,
263-011,P0007,263,,1,Connect,Registered,
263-012,P0008,263,,1,Connect,Registered,
263-013,P0014,263,,1,Connect,Registered,
263-014,P0018,263,,1,Connect,Registered,
